sorgente giorno mese ngiorno ora fuso anno cnt
Sorgente1 Tue Jan 01 00:00:00 CET 2019 4
Sorgente1 Tue Jan 01 00:30:00 CET 2019 4
Sorgente1 Tue Jan 01 01:00:00 CET 2019 3
Sorgente1 Tue Jan 01 01:30:00 CET 2019 3
Sorgente1 Tue Jan 01 02:00:00 CET 2019 3
Sorgente1 Tue Jan 01 02:30:00 CET 2019 3
Sorgente1 Tue Jan 01 03:00:00 CET 2019 3
Sorgente1 Tue Jan 01 03:30:00 CET 2019 3
Sorgente1 Tue Jan 01 04:00:00 CET 2019 3
Sorgente1 Tue Jan 01 04:30:00 CET 2019 4
Sorgente1 Tue Jan 01 05:00:00 CET 2019 5
Sorgente1 Tue Jan 01 05:30:00 CET 2019 5
Sorgente1 Tue Jan 01 06:00:00 CET 2019 8
Sorgente1 Tue Jan 01 06:30:00 CET 2019 11
Sorgente1 Tue Jan 01 07:00:00 CET 2019 14
Sorgente1 Tue Jan 01 07:30:00 CET 2019 18
Sorgente1 Tue Jan 01 08:00:00 CET 2019 26
Sorgente1 Tue Jan 01 08:30:00 CET 2019 32
Sorgente1 Tue Jan 01 09:00:00 CET 2019 36
Sorgente1 Tue Jan 01 09:30:00 CET 2019 43
Sorgente1 Tue Jan 01 10:00:00 CET 2019 44
Sorgente1 Tue Jan 01 10:30:00 CET 2019 46
Sorgente1 Tue Jan 01 11:00:00 CET 2019 46
Sorgente1 Tue Jan 01 11:30:00 CET 2019 46
Sorgente1 Tue Jan 01 12:00:00 CET 2019 47
Sorgente1 Tue Jan 01 12:30:00 CET 2019 46
Sorgente1 Tue Jan 01 13:00:00 CET 2019 44
Sorgente1 Tue Jan 01 13:30:00 CET 2019 45
Sorgente1 Tue Jan 01 14:00:00 CET 2019 47
Sorgente1 Tue Jan 01 14:30:00 CET 2019 48
Sorgente1 Tue Jan 01 15:00:00 CET 2019 49
Sorgente1 Tue Jan 01 15:30:00 CET 2019 48
Sorgente1 Tue Jan 01 16:00:00 CET 2019 46
Sorgente1 Tue Jan 01 16:30:00 CET 2019 38
Sorgente1 Tue Jan 01 17:00:00 CET 2019 33
Sorgente1 Tue Jan 01 17:30:00 CET 2019 32
Sorgente1 Tue Jan 01 18:00:00 CET 2019 27
Sorgente1 Tue Jan 01 18:30:00 CET 2019 25
Sorgente1 Tue Jan 01 19:00:00 CET 2019 19
Sorgente1 Tue Jan 01 19:30:00 CET 2019 14
Sorgente1 Tue Jan 01 20:00:00 CET 2019 10
Sorgente1 Tue Jan 01 20:30:00 CET 2019 8
Sorgente1 Tue Jan 01 21:00:00 CET 2019 6
Sorgente1 Tue Jan 01 21:30:00 CET 2019 5
Sorgente1 Tue Jan 01 22:00:00 CET 2019 5
Sorgente1 Tue Jan 01 22:30:00 CET 2019 4
Sorgente1 Tue Jan 01 23:00:00 CET 2019 4
Sorgente1 Tue Jan 01 23:30:00 CET 2019 4
Sorgente1 Wed Jan 02 00:00:00 CET 2019 4
Sorgente1 Wed Jan 02 00:30:00 CET 2019 4
Sorgente1 Wed Jan 02 01:00:00 CET 2019 3
Sorgente1 Wed Jan 02 01:30:00 CET 2019 3
Sorgente1 Wed Jan 02 02:00:00 CET 2019 3
Sorgente1 Wed Jan 02 02:30:00 CET 2019 3
Sorgente1 Wed Jan 02 03:00:00 CET 2019 3
Sorgente1 Wed Jan 02 03:30:00 CET 2019 3
Sorgente1 Wed Jan 02 04:00:00 CET 2019 3
Sorgente1 Wed Jan 02 04:30:00 CET 2019 4
Sorgente1 Wed Jan 02 05:00:00 CET 2019 5
Sorgente1 Wed Jan 02 05:30:00 CET 2019 5
Sorgente1 Wed Jan 02 06:00:00 CET 2019 8
Sorgente1 Wed Jan 02 06:30:00 CET 2019 11
Sorgente1 Wed Jan 02 07:00:00 CET 2019 14
Sorgente1 Wed Jan 02 07:30:00 CET 2019 18
Sorgente1 Wed Jan 02 08:00:00 CET 2019 26
Sorgente1 Wed Jan 02 08:30:00 CET 2019 32
Sorgente1 Wed Jan 02 09:00:00 CET 2019 36
Sorgente1 Wed Jan 02 09:30:00 CET 2019 43
Sorgente1 Wed Jan 02 10:00:00 CET 2019 44
Sorgente1 Wed Jan 02 10:30:00 CET 2019 46
Sorgente1 Wed Jan 02 11:00:00 CET 2019 46
Sorgente1 Wed Jan 02 11:30:00 CET 2019 46
Sorgente1 Wed Jan 02 12:00:00 CET 2019 47
Sorgente1 Wed Jan 02 12:30:00 CET 2019 46
Sorgente1 Wed Jan 02 13:00:00 CET 2019 44
